Province,District,Year,Household_Size,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_per_capita,StatsSA_Households_Cellphone,StatsSA_Households_LandCell (%),StatsSA_Households_MobileInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt (%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
WC,Cape Town MM: CPT,2024,3.2,Urban,4867548,7231914,120,30.3827,1600.7881,90.7,5.1,79.5,12.9,21.7,92,0.91
WC,Cape Winelands DM: DC2,2022,3.6,Rural,1916797,2389664,45,32.6317,1795.7458,80.4,14.7,68.5,13.1,19.8,84.6,0.91
WC,Cape Winelands DM: DC2,2023,3.6,Rural,1949506,2505462,46,35.2175,1693.2257,88,6.9,70.8,14.9,22.3,88.1,0.91
WC,Cape Winelands DM: DC2,2024,3.6,Rural,991117,1587689,46,30.3827,1600.7881,90.7,5.1,79.5,12.9,21.7,92,0.91
WC,Central Karoo DM: DC5,2022,3.7,Rural,148691,400563,9,32.6317,1795.7458,80.4,14.7,68.5,13.1,19.8,84.6,2.3
WC,Central Karoo DM: DC5,2023,3.7,Rural,148880,414143,9,35.2175,1693.2257,88,6.9,70.8,14.9,22.3,88.1,2.3
WC,Central Karoo DM: DC5,2024,3.7,Rural,74630,190593,9,30.3827,1600.7881,90.7,5.1,79.5,12.9,21.7,92,2.3
WC,Garden Route DM: DC4,2022,3.5,Semi-Urban,1247030,2203752,40,32.6317,1795.7458,80.4,14.7,68.5,13.1,19.8,84.6,2.3
WC,Garden Route DM: DC4,2023,3.5,Semi-Urban,1256423,2287542,40,35.2175,1693.2257,88,6.9,70.8,14.9,22.3,88.1,2.3
WC,Garden Route DM: DC4,2024,3.5,Semi-Urban,633013,1311576,40,30.3827,1600.7881,90.7,5.1,79.5,12.9,21.7,92,2.3
WC,Overberg DM: DC3,2022,3.4,Rural,610404,1026468,19,32.6317,1795.7458,80.4,14.7,68.5,13.1,19.8,84.6,2.3
WC,Overberg DM: DC3,2023,3.4,Rural,621324,1072472,19,35.2175,1693.2257,88,6.9,70.8,14.9,22.3,88.1,2.3
WC,Overberg DM: DC3,2024,3.4,Rural,316173,731483,19,30.3827,1600.7881,90.7,5.1,79.5,12.9,21.7,92,2.3
WC,West Coast DM: DC1,2022,3.3,Rural,942102,1397924,27,32.6317,1795.7458,80.4,14.7,68.5,13.1,19.8,84.6,2.3
WC,West Coast DM: DC1,2023,3.3,Rural,957943,1459591,27,35.2175,1693.2257,88,6.9,70.8,14.9,22.3,88.1,2.3
WC,West Coast DM: DC1,2024,3.3,Rural,487115,805338,27,30.3827,1600.7881,90.7,5.1,79.5,12.9,21.7,92,2.3
